Disease Name,Symptoms,Medicine Name,Dosage Instructions
Arthritis,"Frequent urination, Increased thirst",Omeprazole,Take before sleep
Sinusitis,"Persistent cough, Weight loss, Night sweats",Cetirizine,1 tablet every 12 hours
Bronchitis,"Nausea, Sensitivity to light",Chloroquine,1 capsule every morning with food
Typhoid,"Frequent urination, Increased thirst",Hydroxychloroquine,Take with water after meals
Common Cold,"Skin rash, Fever",Rifampin,Take before sleep
Chickenpox,"Red spots on skin, Fever",Isoniazid,1 tablet every 12 hours
Hepatitis B,"Facial pain, Runny nose, Headache",Artemether,Take 5ml syrup before bedtime
Malaria,"Joint pain, Swelling",Loratadine,Apply cream twice a day
Food Poisoning,"Joint pain, Swelling",Isoniazid,Apply cream twice a day
Bronchitis,"Swollen salivary glands, Fever",Prednisone,Take 2 tablets daily after meals
Diabetes,"Wheezing, Shortness of breath",Azithromycin,Use inhaler as needed
Common Cold,"Cough, Mucus production",Losartan,1 tablet every 12 hours
Bronchitis,"Nausea, Vomiting, Diarrhea",Losartan,Apply cream twice a day
Hypertension,"Red spots on skin, Fever",Prednisone,Inject once daily
Tuberculosis,"Facial pain, Runny nose, Headache",Isoniazid,Inject once daily
Sinusitis,"Skin rash, High fever, Bleeding gums",Vitamin C,1 capsule every morning with food
Measles,"Skin rash, Fever",Ventolin,1 tablet every 12 hours
Food Poisoning,"Headache, Dizziness, Blurred vision",Aspirin,Inject once daily
Hypertension,"Nausea, Vomiting, Diarrhea",Doxycycline,Take 5ml syrup before bedtime
Migraine,"Swollen salivary glands, Fever",Ibuprofen,Apply cream twice a day
Hepatitis C,"Headache, Dizziness, Blurred vision",Cetirizine,Take 2 tablets daily after meals
Influenza,"Jaundice, Dark urine, Fatigue",Artemether,Take 1 tablet every 6 hours
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Isoniazid,Apply cream twice a day
Food Poisoning,"Headache, Dizziness, Blurred vision",Hydroxychloroquine,Take 1 tablet every 6 hours
Bronchitis,"Jaundice, Dark urine, Fatigue",Rifampin,Take 5ml syrup before bedtime
Dengue,"Fever, Loss of taste/smell",Isoniazid,Inject once daily
Influenza,"Skin rash, Fever",Loratadine,Take 2 tablets daily after meals
Typhoid,"Abdominal pain, High fever, Loss of appetite",Vitamin C,Take with water after meals
Pneumonia,"Wheezing, Shortness of breath",Azithromycin,Take with water after meals
Asthma,"Persistent cough, Weight loss, Night sweats",Hydroxychloroquine,Take 2 tablets daily after meals
Hepatitis C,"Sneezing, Sore throat",Cetirizine,1 capsule every morning with food
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Vitamin C,Take 2 tablets daily after meals
Measles,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,1 tablet every 12 hours
Hepatitis C,"Fever, Loss of taste/smell",Rifampin,Apply cream twice a day
Typhoid,"Fever, Loss of taste/smell",Chloroquine,Take with water after meals
Bronchitis,"Red spots on skin, Fever",Metformin,Take with water after meals
Pneumonia,"Sneezing, Sore throat",Isoniazid,Take 2 tablets daily after meals
Diabetes,"Fever, Cough, Fatigue",Vitamin C,Take 2 tablets daily after meals
Migraine,"Sneezing, Sore throat",Zinc Sulfate,Use inhaler as needed
Chickenpox,"Swollen salivary glands, Fever",Vitamin C,1 capsule every morning with food
Measles,"Persistent cough, Weight loss, Night sweats",Vitamin C,Use inhaler as needed
Influenza,"Nausea, Vomiting, Diarrhea",Loratadine,Use inhaler as needed
Sinusitis,"Nausea, Vomiting, Diarrhea",Loratadine,Take with water after meals
Malaria,"Joint pain, Swelling",Ventolin,1 capsule every morning with food
Food Poisoning,"Headache, Dizziness, Blurred vision",Losartan,Take 2 tablets daily after meals
Dengue,"Chills, Sweating, Muscle pain",Prednisone,Take before sleep
Hepatitis B,"Chills, Sweating, Muscle pain",Rifampin,Apply cream twice a day
Dengue,"Joint pain, Swelling",Ibuprofen,Take before sleep
Tuberculosis,"Red spots on skin, Fever",Hydroxychloroquine,Use inhaler as needed
Hypertension,"Shortness of breath, Chest pain",Aspirin,Use inhaler as needed
Pneumonia,"Frequent urination, Increased thirst",Metformin,Inject once daily
Asthma,"Cough, Mucus production",Artemether,Take 5ml syrup before bedtime
Chickenpox,"Frequent urination, Increased thirst",Artemether,Inject once daily
Arthritis,"Swollen salivary glands, Fever",Ibuprofen,1 tablet every 12 hours
Migraine,"Chills, Sweating, Muscle pain",Ibuprofen,Use inhaler as needed
Measles,"Cough, Mucus production",Amoxicillin,Take 5ml syrup before bedtime
Asthma,"Red spots on skin, Fever",Loratadine,Take 2 tablets daily after meals
Mumps,"Joint pain, Swelling",Hydroxychloroquine,Take 5ml syrup before bedtime
Common Cold,"Abdominal pain, High fever, Loss of appetite",Omeprazole,Use inhaler as needed
Bronchitis,"Headache, Dizziness, Blurred vision",Artemether,Take 1 tablet every 6 hours
COVID-19,"Nausea, Sensitivity to light",Amoxicillin,Take 1 tablet every 6 hours
Dengue,"Nausea, Sensitivity to light",Cetirizine,1 capsule every morning with food
Common Cold,"Frequent urination, Increased thirst",Aspirin,Take with water after meals
Migraine,"Swollen salivary glands, Fever",Amoxicillin,Apply cream twice a day
Food Poisoning,"Facial pain, Runny nose, Headache",Ibuprofen,Take 2 tablets daily after meals
Measles,"Wheezing, Shortness of breath",Loratadine,Take 1 tablet every 6 hours
Malaria,"Jaundice, Dark urine, Fatigue",Isoniazid,Take 5ml syrup before bedtime
Arthritis,"Frequent urination, Increased thirst",Cetirizine,Inject once daily
Asthma,"Shortness of breath, Chest pain",Chloroquine,Use inhaler as needed
Migraine,"Persistent cough, Weight loss, Night sweats",Doxycycline,Take 1 tablet every 6 hours
Migraine,"Swollen salivary glands, Fever",Methotrexate,Take 2 tablets daily after meals
Asthma,"Red spots on skin, Fever",Paracetamol,Use inhaler as needed
Bronchitis,"Frequent urination, Increased thirst",Chloroquine,Take with water after meals
Malaria,"Joint pain, Swelling",Paracetamol,1 tablet every 12 hours
COVID-19,"Chills, Sweating, Muscle pain",Isoniazid,Apply cream twice a day
Hypertension,"Skin rash, Fever",Zinc Sulfate,Take 2 tablets daily after meals
Asthma,"Abdominal pain, High fever, Loss of appetite",Isoniazid,Take 1 tablet every 6 hours
Diabetes,"Abdominal pain, High fever, Loss of appetite",Prednisone,Take 5ml syrup before bedtime
Dengue,"Cough, Mucus production",Isoniazid,Take 5ml syrup before bedtime
Food Poisoning,"Shortness of breath, Chest pain",Doxycycline,1 capsule every morning with food
Dengue,"Nausea, Vomiting, Diarrhea",Azithromycin,Take 2 tablets daily after meals
Sinusitis,"Fever, Cough, Fatigue",Doxycycline,Use inhaler as needed
Hepatitis C,"Nausea, Vomiting, Diarrhea",Prednisone,Apply cream twice a day
Hypertension,"Persistent cough, Weight loss, Night sweats",Methotrexate,Inject once daily
Diabetes,"Red spots on skin, Fever",Omeprazole,Use inhaler as needed
Dengue,"Frequent urination, Increased thirst",Azithromycin,Take 1 tablet every 6 hours
Pneumonia,"Skin rash, Fever",Methotrexate,Inject once daily
Hepatitis B,"Persistent cough, Weight loss, Night sweats",Ventolin,Take 5ml syrup before bedtime
Mumps,"Persistent cough, Weight loss, Night sweats",Ventolin,Take with water after meals
Chickenpox,"Headache, Dizziness, Blurred vision",Azithromycin,Take 1 tablet every 6 hours
Hepatitis C,"Nausea, Vomiting, Diarrhea",Cetirizine,Take with water after meals
Common Cold,"Chills, Sweating, Muscle pain",Prednisone,Take before sleep
Mumps,"Sneezing, Sore throat",Losartan,1 capsule every morning with food
Migraine,"Nausea, Sensitivity to light",Azithromycin,Take 2 tablets daily after meals
Arthritis,"Fever, Loss of taste/smell",Aspirin,Take 2 tablets daily after meals
Mumps,"Skin rash, High fever, Bleeding gums",Amoxicillin,Use inhaler as needed
Influenza,"Fever, Loss of taste/smell",Vitamin C,Apply cream twice a day
COVID-19,"Persistent cough, Weight loss, Night sweats",Losartan,1 tablet every 12 hours
Common Cold,"Shortness of breath, Chest pain",Isoniazid,1 tablet every 12 hours
Typhoid,"Wheezing, Shortness of breath",Zinc Sulfate,Apply cream twice a day
Pneumonia,"Frequent urination, Increased thirst",Paracetamol,1 capsule every morning with food
Mumps,"Sneezing, Sore throat",Prednisone,Take 2 tablets daily after meals
Influenza,"Swollen salivary glands, Fever",Losartan,Take 5ml syrup before bedtime
Dengue,"Cough, Mucus production",Methotrexate,Apply cream twice a day
Hypertension,"Wheezing, Shortness of breath",Metformin,Take 1 tablet every 6 hours
Migraine,"Fever, Loss of taste/smell",Azithromycin,Take 1 tablet every 6 hours
Bronchitis,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,1 capsule every morning with food
Diabetes,"Persistent cough, Weight loss, Night sweats",Vitamin C,1 tablet every 12 hours
Migraine,"Swollen salivary glands, Fever",Loratadine,Use inhaler as needed
Hepatitis C,"Wheezing, Shortness of breath",Losartan,1 tablet every 12 hours
Migraine,"Cough, Mucus production",Loratadine,1 capsule every morning with food
Mumps,"Red spots on skin, Fever",Hydroxychloroquine,Apply cream twice a day
Influenza,"Cough, Mucus production",Zinc Sulfate,Take 2 tablets daily after meals
Hepatitis C,"Abdominal pain, High fever, Loss of appetite",Cetirizine,Apply cream twice a day
Chickenpox,"Headache, Dizziness, Blurred vision",Amoxicillin,Take before sleep
Hepatitis C,"Nausea, Sensitivity to light",Cetirizine,Take before sleep
Diabetes,"Shortness of breath, Chest pain",Paracetamol,Take 5ml syrup before bedtime
Arthritis,"Cough, Mucus production",Artemether,1 capsule every morning with food
Hypertension,"Fever, Cough, Fatigue",Azithromycin,Take 1 tablet every 6 hours
Food Poisoning,"Skin rash, Fever",Artemether,Take 2 tablets daily after meals
Dengue,"Fever, Loss of taste/smell",Artemether,Take 1 tablet every 6 hours
COVID-19,"Skin rash, High fever, Bleeding gums",Azithromycin,Take with water after meals
Malaria,"Joint pain, Swelling",Amoxicillin,1 tablet every 12 hours
Malaria,"Fever, Loss of taste/smell",Methotrexate,Apply cream twice a day
Diabetes,"Frequent urination, Increased thirst",Prednisone,1 capsule every morning with food
Typhoid,"Facial pain, Runny nose, Headache",Amoxicillin,Take 5ml syrup before bedtime
Sinusitis,"Shortness of breath, Chest pain",Ibuprofen,Take with water after meals
Common Cold,"Jaundice, Dark urine, Fatigue",Rifampin,Take 2 tablets daily after meals
Chickenpox,"Shortness of breath, Chest pain",Azithromycin,Take 2 tablets daily after meals
Measles,"Joint pain, Swelling",Zinc Sulfate,Take 5ml syrup before bedtime
Sinusitis,"Abdominal pain, High fever, Loss of appetite",Aspirin,Inject once daily
Hepatitis B,"Chills, Sweating, Muscle pain",Isoniazid,Take before sleep
Migraine,"Nausea, Sensitivity to light",Azithromycin,Inject once daily
Tuberculosis,"Fever, Loss of taste/smell",Ventolin,Use inhaler as needed
Influenza,"Red spots on skin, Fever",Cetirizine,Take 2 tablets daily after meals
Hepatitis C,"Swollen salivary glands, Fever",Metformin,Take before sleep
Tuberculosis,"Shortness of breath, Chest pain",Chloroquine,Take 5ml syrup before bedtime
Food Poisoning,"Sneezing, Sore throat",Loratadine,Take 1 tablet every 6 hours
Bronchitis,"Fever, Cough, Fatigue",Prednisone,Take with water after meals
Typhoid,"Nausea, Vomiting, Diarrhea",Paracetamol,Take 5ml syrup before bedtime
Hepatitis B,"Jaundice, Dark urine, Fatigue",Loratadine,Inject once daily
Common Cold,"Jaundice, Dark urine, Fatigue",Cetirizine,Apply cream twice a day
Measles,"Wheezing, Shortness of breath",Chloroquine,Take with water after meals
Hypertension,"Facial pain, Runny nose, Headache",Rifampin,Take with water after meals
Sinusitis,"Jaundice, Dark urine, Fatigue",Omeprazole,Apply cream twice a day
Hypertension,"Swollen salivary glands, Fever",Losartan,1 capsule every morning with food
Tuberculosis,"Joint pain, Swelling",Loratadine,Take 1 tablet every 6 hours
Pneumonia,"Headache, Dizziness, Blurred vision",Vitamin C,Inject once daily
Migraine,"Skin rash, High fever, Bleeding gums",Azithromycin,1 tablet every 12 hours
Pneumonia,"Chills, Sweating, Muscle pain",Vitamin C,1 capsule every morning with food
Arthritis,"Frequent urination, Increased thirst",Cetirizine,Take 5ml syrup before bedtime
Diabetes,"Fever, Cough, Fatigue",Vitamin C,Take before sleep
Hepatitis C,"Headache, Dizziness, Blurred vision",Omeprazole,Take before sleep
Bronchitis,"Cough, Mucus production",Ventolin,1 capsule every morning with food
Pneumonia,"Abdominal pain, High fever, Loss of appetite",Hydroxychloroquine,Take 5ml syrup before bedtime
Dengue,"Fever, Loss of taste/smell",Ibuprofen,Take 2 tablets daily after meals
Hypertension,"Cough, Mucus production",Omeprazole,1 tablet every 12 hours
Hepatitis C,"Abdominal pain, High fever, Loss of appetite",Zinc Sulfate,Take before sleep
Arthritis,"Skin rash, Fever",Prednisone,Take with water after meals
Arthritis,"Skin rash, Fever",Methotrexate,Inject once daily
Pneumonia,"Abdominal pain, High fever, Loss of appetite",Prednisone,Use inhaler as needed
Typhoid,"Cough, Mucus production",Cetirizine,Apply cream twice a day
Chickenpox,"Fever, Cough, Fatigue",Cetirizine,Take before sleep
Migraine,"Skin rash, Fever",Rifampin,Take 1 tablet every 6 hours
Dengue,"Skin rash, Fever",Isoniazid,1 tablet every 12 hours
Diabetes,"Frequent urination, Increased thirst",Losartan,Use inhaler as needed
Sinusitis,"Skin rash, High fever, Bleeding gums",Azithromycin,Inject once daily
Diabetes,"Chills, Sweating, Muscle pain",Loratadine,Take before sleep
Hepatitis C,"Frequent urination, Increased thirst",Ibuprofen,1 capsule every morning with food
Measles,"Fever, Loss of taste/smell",Ventolin,Take before sleep
Bronchitis,"Chills, Sweating, Muscle pain",Hydroxychloroquine,1 tablet every 12 hours
Chickenpox,"Joint pain, Swelling",Amoxicillin,1 capsule every morning with food
Tuberculosis,"Fever, Cough, Fatigue",Losartan,Take 2 tablets daily after meals
Hepatitis C,"Sneezing, Sore throat",Paracetamol,Take with water after meals
Sinusitis,"Frequent urination, Increased thirst",Hydroxychloroquine,Take with water after meals
Hepatitis B,"Wheezing, Shortness of breath",Paracetamol,Take before sleep
Common Cold,"Jaundice, Dark urine, Fatigue",Rifampin,Take with water after meals
Mumps,"Cough, Mucus production",Losartan,Apply cream twice a day
Sinusitis,"Frequent urination, Increased thirst",Paracetamol,Take 1 tablet every 6 hours
Hepatitis B,"Red spots on skin, Fever",Rifampin,Take 1 tablet every 6 hours
Typhoid,"Cough, Mucus production",Artemether,Use inhaler as needed
Tuberculosis,"Skin rash, Fever",Aspirin,Take with water after meals
Food Poisoning,"Fever, Loss of taste/smell",Paracetamol,Apply cream twice a day
Migraine,"Persistent cough, Weight loss, Night sweats",Omeprazole,Take 2 tablets daily after meals
COVID-19,"Fever, Loss of taste/smell",Prednisone,1 capsule every morning with food
Asthma,"Persistent cough, Weight loss, Night sweats",Ventolin,Apply cream twice a day
Hepatitis C,"Fever, Cough, Fatigue",Vitamin C,1 tablet every 12 hours
Migraine,"Wheezing, Shortness of breath",Cetirizine,Take 5ml syrup before bedtime
Diabetes,"Frequent urination, Increased thirst",Methotrexate,Take 2 tablets daily after meals
Common Cold,"Shortness of breath, Chest pain",Hydroxychloroquine,Take 1 tablet every 6 hours
Measles,"Facial pain, Runny nose, Headache",Isoniazid,Take 5ml syrup before bedtime
Hepatitis C,"Cough, Mucus production",Prednisone,1 tablet every 12 hours
Hypertension,"Fever, Cough, Fatigue",Loratadine,Take before sleep
Tuberculosis,"Jaundice, Dark urine, Fatigue",Azithromycin,Inject once daily
COVID-19,"Fever, Loss of taste/smell",Methotrexate,1 capsule every morning with food
Hepatitis B,"Shortness of breath, Chest pain",Doxycycline,Take 1 tablet every 6 hours
Measles,"Swollen salivary glands, Fever",Cetirizine,1 tablet every 12 hours
Bronchitis,"Frequent urination, Increased thirst",Doxycycline,Inject once daily
Influenza,"Jaundice, Dark urine, Fatigue",Zinc Sulfate,1 capsule every morning with food
Arthritis,"Chills, Sweating, Muscle pain",Chloroquine,Take 1 tablet every 6 hours
Hypertension,"Shortness of breath, Chest pain",Zinc Sulfate,Take 5ml syrup before bedtime
Mumps,"Chills, Sweating, Muscle pain",Doxycycline,1 tablet every 12 hours
Tuberculosis,"Cough, Mucus production",Isoniazid,Take 1 tablet every 6 hours
Dengue,"Nausea, Sensitivity to light",Azithromycin,1 capsule every morning with food
Arthritis,"Joint pain, Swelling",Azithromycin,Take with water after meals
Chickenpox,"Jaundice, Dark urine, Fatigue",Vitamin C,Use inhaler as needed
Tuberculosis,"Facial pain, Runny nose, Headache",Isoniazid,Take 2 tablets daily after meals
Dengue,"Wheezing, Shortness of breath",Prednisone,1 tablet every 12 hours
Asthma,"Skin rash, High fever, Bleeding gums",Ventolin,Take with water after meals
Hepatitis C,"Chills, Sweating, Muscle pain",Losartan,Take before sleep
Measles,"Chills, Sweating, Muscle pain",Artemether,Take 5ml syrup before bedtime
Food Poisoning,"Cough, Mucus production",Aspirin,Apply cream twice a day
COVID-19,"Cough, Mucus production",Cetirizine,Take 5ml syrup before bedtime
Mumps,"Headache, Dizziness, Blurred vision",Losartan,Take 1 tablet every 6 hours
Mumps,"Sneezing, Sore throat",Ibuprofen,Inject once daily
Mumps,"Skin rash, Fever",Losartan,Take 5ml syrup before bedtime
